Index,Visibility,Season,Size,Left,Right
1,RP,spring,small,7,10
2,RP,spring,small,0,1
3,RP,spring,small,4,7
4,RP,spring,small,0,1
5,RP,spring,small,10,14
6,RP,spring,small,7,10
7,RP,spring,small,1,2
8,RP,spring,small,0,1
9,RP,spring,small,28,Inf
10,RP,spring,small,7,10
11,RP,spring,small,4,7
12,RP,spring,small,28,Inf
13,RP,spring,small,1,2
14,RP,spring,small,4,7
15,RP,spring,small,0,1
16,RP,spring,small,3,4
17,RP,spring,small,3,4
18,RP,spring,small,0,1
19,RP,spring,small,4,7
20,RP,spring,small,0,1
21,RP,summer,small,0,1
22,RP,summer,small,0,1
23,RP,summer,small,1,2
24,RP,summer,small,14,21
25,RP,summer,small,4,7
26,RP,summer,small,0,1
27,RP,summer,small,0,1
28,RP,summer,small,1,2
29,RP,summer,small,14,21
30,RP,summer,small,2,3
31,RP,summer,small,7,10
32,RP,summer,small,7,10
33,RP,summer,small,0,1
34,RP,summer,small,2,3
35,RP,summer,small,28,Inf
36,RP,summer,small,4,7
37,RP,summer,small,28,Inf
38,RP,summer,small,10,14
39,RP,summer,small,21,28
40,RP,summer,small,2,3
41,RP,fall,small,0,1
42,RP,fall,small,21,28
43,RP,fall,small,0,1
44,RP,fall,small,0,1
45,RP,fall,small,7,10
46,RP,fall,small,14,21
47,RP,fall,small,4,7
48,RP,fall,small,7,10
49,RP,fall,small,14,21
50,RP,fall,small,28,Inf
51,RP,fall,small,10,14
52,RP,fall,small,4,7
53,RP,fall,small,4,7
54,RP,fall,small,21,28
55,RP,fall,small,10,14
56,RP,fall,small,28,Inf
57,RP,fall,small,7,10
58,RP,fall,small,21,28
59,RP,fall,small,0,1
60,RP,fall,small,4,7
61,M,spring,small,28,Inf
62,M,spring,small,0,1
63,M,spring,small,21,28
64,M,spring,small,3,4
65,M,spring,small,0,1
66,M,spring,small,1,2
67,M,spring,small,14,21
68,M,spring,small,14,21
69,M,spring,small,7,10
70,M,spring,small,14,21
71,M,spring,small,14,21
72,M,spring,small,28,Inf
73,M,spring,small,7,10
74,M,spring,small,2,3
75,M,spring,small,2,3
76,M,spring,small,7,10
77,M,spring,small,0,1
78,M,spring,small,0,1
79,M,spring,small,21,28
80,M,spring,small,10,14
81,M,summer,small,21,28
82,M,summer,small,0,1
83,M,summer,small,28,Inf
84,M,summer,small,2,3
85,M,summer,small,0,1
86,M,summer,small,0,1
87,M,summer,small,10,14
88,M,summer,small,21,28
89,M,summer,small,28,Inf
90,M,summer,small,0,1
91,M,summer,small,0,1
92,M,summer,small,28,Inf
93,M,summer,small,4,7
94,M,summer,small,10,14
95,M,summer,small,28,Inf
96,M,summer,small,10,14
97,M,summer,small,0,1
98,M,summer,small,0,1
99,M,summer,small,28,Inf
100,M,summer,small,10,14
101,M,fall,small,0,1
102,M,fall,small,28,Inf
103,M,fall,small,1,2
104,M,fall,small,1,2
105,M,fall,small,21,28
106,M,fall,small,0,1
107,M,fall,small,28,Inf
108,M,fall,small,3,4
109,M,fall,small,10,14
110,M,fall,small,2,3
111,M,fall,small,10,14
112,M,fall,small,10,14
113,M,fall,small,21,28
114,M,fall,small,0,1
115,M,fall,small,0,1
116,M,fall,small,21,28
117,M,fall,small,28,Inf
118,M,fall,small,0,1
119,M,fall,small,0,1
120,M,fall,small,2,3
121,D,spring,small,10,14
122,D,spring,small,14,21
123,D,spring,small,0,1
124,D,spring,small,28,Inf
125,D,spring,small,7,10
126,D,spring,small,4,7
127,D,spring,small,10,14
128,D,spring,small,0,1
129,D,spring,small,4,7
130,D,spring,small,3,4
131,D,spring,small,14,21
132,D,spring,small,2,3
133,D,spring,small,28,Inf
134,D,spring,small,4,7
135,D,spring,small,2,3
136,D,spring,small,28,Inf
137,D,spring,small,10,14
138,D,spring,small,28,Inf
139,D,spring,small,0,1
140,D,spring,small,0,1
141,D,summer,small,28,Inf
142,D,summer,small,0,1
143,D,summer,small,7,10
144,D,summer,small,28,Inf
145,D,summer,small,28,Inf
146,D,summer,small,0,1
147,D,summer,small,28,Inf
148,D,summer,small,7,10
149,D,summer,small,21,28
150,D,summer,small,28,Inf
151,D,summer,small,10,14
152,D,summer,small,10,14
153,D,summer,small,4,7
154,D,summer,small,21,28
155,D,summer,small,21,28
156,D,summer,small,4,7
157,D,summer,small,21,28
158,D,summer,small,28,Inf
159,D,summer,small,28,Inf
160,D,summer,small,1,2
161,D,fall,small,21,28
162,D,fall,small,4,7
163,D,fall,small,2,3
164,D,fall,small,21,28
165,D,fall,small,2,3
166,D,fall,small,0,1
167,D,fall,small,21,28
168,D,fall,small,21,28
169,D,fall,small,2,3
170,D,fall,small,3,4
171,D,fall,small,0,1
172,D,fall,small,14,21
173,D,fall,small,28,Inf
174,D,fall,small,28,Inf
175,D,fall,small,7,10
176,D,fall,small,28,Inf
177,D,fall,small,21,28
178,D,fall,small,7,10
179,D,fall,small,14,21
180,D,fall,small,10,14
181,RP,spring,med,7,10
182,RP,spring,med,10,14
183,RP,spring,med,0,1
184,RP,spring,med,4,7
185,RP,spring,med,4,7
186,RP,spring,med,4,7
187,RP,spring,med,2,3
188,RP,spring,med,7,10
189,RP,spring,med,14,21
190,RP,spring,med,2,3
191,RP,spring,med,4,7
192,RP,spring,med,1,2
193,RP,spring,med,2,3
194,RP,spring,med,4,7
195,RP,spring,med,0,1
196,RP,spring,med,10,14
197,RP,spring,med,0,1
198,RP,spring,med,0,1
199,RP,spring,med,7,10
200,RP,spring,med,0,1
201,RP,summer,med,7,10
202,RP,summer,med,2,3
203,RP,summer,med,2,3
204,RP,summer,med,0,1
205,RP,summer,med,14,21
206,RP,summer,med,4,7
207,RP,summer,med,7,10
208,RP,summer,med,0,1
209,RP,summer,med,7,10
210,RP,summer,med,0,1
211,RP,summer,med,28,Inf
212,RP,summer,med,10,14
213,RP,summer,med,4,7
214,RP,summer,med,0,1
215,RP,summer,med,1,2
216,RP,summer,med,14,21
217,RP,summer,med,10,14
218,RP,summer,med,10,14
219,RP,summer,med,14,21
220,RP,summer,med,14,21
221,RP,fall,med,7,10
222,RP,fall,med,4,7
223,RP,fall,med,4,7
224,RP,fall,med,2,3
225,RP,fall,med,0,1
226,RP,fall,med,7,10
227,RP,fall,med,4,7
228,RP,fall,med,10,14
229,RP,fall,med,3,4
230,RP,fall,med,0,1
231,RP,fall,med,7,10
232,RP,fall,med,14,21
233,RP,fall,med,14,21
234,RP,fall,med,21,28
235,RP,fall,med,3,4
236,RP,fall,med,1,2
237,RP,fall,med,10,14
238,RP,fall,med,4,7
239,RP,fall,med,0,1
240,RP,fall,med,14,21
241,M,spring,med,4,7
242,M,spring,med,0,1
243,M,spring,med,28,Inf
244,M,spring,med,2,3
245,M,spring,med,1,2
246,M,spring,med,21,28
247,M,spring,med,0,1
248,M,spring,med,0,1
249,M,spring,med,28,Inf
250,M,spring,med,0,1
251,M,spring,med,1,2
252,M,spring,med,28,Inf
253,M,spring,med,7,10
254,M,spring,med,4,7
255,M,spring,med,1,2
256,M,spring,med,10,14
257,M,spring,med,0,1
258,M,spring,med,4,7
259,M,spring,med,4,7
260,M,spring,med,4,7
261,M,summer,med,28,Inf
262,M,summer,med,28,Inf
263,M,summer,med,0,1
264,M,summer,med,21,28
265,M,summer,med,0,1
266,M,summer,med,7,10
267,M,summer,med,21,28
268,M,summer,med,7,10
269,M,summer,med,0,1
270,M,summer,med,0,1
271,M,summer,med,28,Inf
272,M,summer,med,28,Inf
273,M,summer,med,28,Inf
274,M,summer,med,10,14
275,M,summer,med,0,1
276,M,summer,med,0,1
277,M,summer,med,0,1
278,M,summer,med,21,28
279,M,summer,med,21,28
280,M,summer,med,0,1
281,M,fall,med,4,7
282,M,fall,med,3,4
283,M,fall,med,0,1
284,M,fall,med,14,21
285,M,fall,med,21,28
286,M,fall,med,7,10
287,M,fall,med,4,7
288,M,fall,med,0,1
289,M,fall,med,0,1
290,M,fall,med,7,10
291,M,fall,med,28,Inf
292,M,fall,med,28,Inf
293,M,fall,med,7,10
294,M,fall,med,0,1
295,M,fall,med,4,7
296,M,fall,med,28,Inf
297,M,fall,med,0,1
298,M,fall,med,10,14
299,M,fall,med,0,1
300,M,fall,med,21,28
301,D,spring,med,1,2
302,D,spring,med,10,14
303,D,spring,med,10,14
304,D,spring,med,10,14
305,D,spring,med,14,21
306,D,spring,med,3,4
307,D,spring,med,28,Inf
308,D,spring,med,10,14
309,D,spring,med,14,21
310,D,spring,med,28,Inf
311,D,spring,med,10,14
312,D,spring,med,21,28
313,D,spring,med,21,28
314,D,spring,med,14,21
315,D,spring,med,10,14
316,D,spring,med,7,10
317,D,spring,med,14,21
318,D,spring,med,7,10
319,D,spring,med,21,28
320,D,spring,med,4,7
321,D,summer,med,14,21
322,D,summer,med,7,10
323,D,summer,med,21,28
324,D,summer,med,28,Inf
325,D,summer,med,14,21
326,D,summer,med,4,7
327,D,summer,med,0,1
328,D,summer,med,2,3
329,D,summer,med,28,Inf
330,D,summer,med,2,3
331,D,summer,med,7,10
332,D,summer,med,14,21
333,D,summer,med,28,Inf
334,D,summer,med,28,Inf
335,D,summer,med,28,Inf
336,D,summer,med,28,Inf
337,D,summer,med,4,7
338,D,summer,med,7,10
339,D,summer,med,28,Inf
340,D,summer,med,28,Inf
341,D,fall,med,21,28
342,D,fall,med,14,21
343,D,fall,med,4,7
344,D,fall,med,28,Inf
345,D,fall,med,21,28
346,D,fall,med,28,Inf
347,D,fall,med,4,7
348,D,fall,med,28,Inf
349,D,fall,med,21,28
350,D,fall,med,2,3
351,D,fall,med,21,28
352,D,fall,med,28,Inf
353,D,fall,med,28,Inf
354,D,fall,med,28,Inf
355,D,fall,med,28,Inf
356,D,fall,med,28,Inf
357,D,fall,med,28,Inf
358,D,fall,med,0,1
359,D,fall,med,28,Inf
360,D,fall,med,28,Inf
361,RP,spring,lrg,14,21
362,RP,spring,lrg,3,4
363,RP,spring,lrg,7,10
364,RP,spring,lrg,14,21
365,RP,spring,lrg,28,Inf
366,RP,spring,lrg,28,Inf
367,RP,spring,lrg,14,21
368,RP,spring,lrg,28,Inf
369,RP,spring,lrg,10,14
370,RP,spring,lrg,14,21
371,RP,spring,lrg,28,Inf
372,RP,spring,lrg,28,Inf
373,RP,spring,lrg,28,Inf
374,RP,spring,lrg,7,10
375,RP,spring,lrg,28,Inf
376,RP,spring,lrg,28,Inf
377,RP,spring,lrg,7,10
378,RP,spring,lrg,28,Inf
379,RP,spring,lrg,14,21
380,RP,spring,lrg,0,1
381,RP,summer,lrg,10,14
382,RP,summer,lrg,28,Inf
383,RP,summer,lrg,10,14
384,RP,summer,lrg,0,1
385,RP,summer,lrg,28,Inf
386,RP,summer,lrg,7,10
387,RP,summer,lrg,28,Inf
388,RP,summer,lrg,28,Inf
389,RP,summer,lrg,28,Inf
390,RP,summer,lrg,21,28
391,RP,summer,lrg,28,Inf
392,RP,summer,lrg,21,28
393,RP,summer,lrg,3,4
394,RP,summer,lrg,4,7
395,RP,summer,lrg,14,21
396,RP,summer,lrg,10,14
397,RP,summer,lrg,28,Inf
398,RP,summer,lrg,28,Inf
399,RP,summer,lrg,10,14
400,RP,summer,lrg,2,3
401,RP,fall,lrg,28,Inf
402,RP,fall,lrg,28,Inf
403,RP,fall,lrg,2,3
404,RP,fall,lrg,4,7
405,RP,fall,lrg,10,14
406,RP,fall,lrg,10,14
407,RP,fall,lrg,0,1
408,RP,fall,lrg,10,14
409,RP,fall,lrg,28,Inf
410,RP,fall,lrg,7,10
411,RP,fall,lrg,28,Inf
412,RP,fall,lrg,21,28
413,RP,fall,lrg,0,1
414,RP,fall,lrg,7,10
415,RP,fall,lrg,28,Inf
416,RP,fall,lrg,14,21
417,RP,fall,lrg,0,1
418,RP,fall,lrg,10,14
419,RP,fall,lrg,28,Inf
420,RP,fall,lrg,14,21
421,M,spring,lrg,14,21
422,M,spring,lrg,21,28
423,M,spring,lrg,28,Inf
424,M,spring,lrg,28,Inf
425,M,spring,lrg,14,21
426,M,spring,lrg,28,Inf
427,M,spring,lrg,4,7
428,M,spring,lrg,14,21
429,M,spring,lrg,21,28
430,M,spring,lrg,28,Inf
431,M,spring,lrg,21,28
432,M,spring,lrg,7,10
433,M,spring,lrg,14,21
434,M,spring,lrg,28,Inf
435,M,spring,lrg,28,Inf
436,M,spring,lrg,4,7
437,M,spring,lrg,4,7
438,M,spring,lrg,28,Inf
439,M,spring,lrg,21,28
440,M,spring,lrg,3,4
441,M,summer,lrg,28,Inf
442,M,summer,lrg,28,Inf
443,M,summer,lrg,10,14
444,M,summer,lrg,28,Inf
445,M,summer,lrg,28,Inf
446,M,summer,lrg,28,Inf
447,M,summer,lrg,10,14
448,M,summer,lrg,28,Inf
449,M,summer,lrg,21,28
450,M,summer,lrg,21,28
451,M,summer,lrg,28,Inf
452,M,summer,lrg,0,1
453,M,summer,lrg,0,1
454,M,summer,lrg,28,Inf
455,M,summer,lrg,21,28
456,M,summer,lrg,7,10
457,M,summer,lrg,7,10
458,M,summer,lrg,28,Inf
459,M,summer,lrg,28,Inf
460,M,summer,lrg,28,Inf
461,M,fall,lrg,14,21
462,M,fall,lrg,4,7
463,M,fall,lrg,28,Inf
464,M,fall,lrg,28,Inf
465,M,fall,lrg,10,14
466,M,fall,lrg,28,Inf
467,M,fall,lrg,28,Inf
468,M,fall,lrg,3,4
469,M,fall,lrg,10,14
470,M,fall,lrg,21,28
471,M,fall,lrg,28,Inf
472,M,fall,lrg,28,Inf
473,M,fall,lrg,14,21
474,M,fall,lrg,21,28
475,M,fall,lrg,4,7
476,M,fall,lrg,21,28
477,M,fall,lrg,3,4
478,M,fall,lrg,21,28
479,M,fall,lrg,10,14
480,M,fall,lrg,28,Inf
481,D,spring,lrg,2,3
482,D,spring,lrg,28,Inf
483,D,spring,lrg,10,14
484,D,spring,lrg,21,28
485,D,spring,lrg,28,Inf
486,D,spring,lrg,28,Inf
487,D,spring,lrg,28,Inf
488,D,spring,lrg,28,Inf
489,D,spring,lrg,28,Inf
490,D,spring,lrg,7,10
491,D,spring,lrg,4,7
492,D,spring,lrg,28,Inf
493,D,spring,lrg,4,7
494,D,spring,lrg,7,10
495,D,spring,lrg,21,28
496,D,spring,lrg,28,Inf
497,D,spring,lrg,28,Inf
498,D,spring,lrg,28,Inf
499,D,spring,lrg,2,3
500,D,spring,lrg,3,4
501,D,summer,lrg,21,28
502,D,summer,lrg,7,10
503,D,summer,lrg,28,Inf
504,D,summer,lrg,28,Inf
505,D,summer,lrg,28,Inf
506,D,summer,lrg,28,Inf
507,D,summer,lrg,28,Inf
508,D,summer,lrg,0,1
509,D,summer,lrg,4,7
510,D,summer,lrg,10,14
511,D,summer,lrg,28,Inf
512,D,summer,lrg,4,7
513,D,summer,lrg,7,10
514,D,summer,lrg,7,10
515,D,summer,lrg,10,14
516,D,summer,lrg,28,Inf
517,D,summer,lrg,10,14
518,D,summer,lrg,28,Inf
519,D,summer,lrg,28,Inf
520,D,summer,lrg,21,28
521,D,fall,lrg,1,2
522,D,fall,lrg,28,Inf
523,D,fall,lrg,10,14
524,D,fall,lrg,7,10
525,D,fall,lrg,28,Inf
526,D,fall,lrg,28,Inf
527,D,fall,lrg,28,Inf
528,D,fall,lrg,28,Inf
529,D,fall,lrg,28,Inf
530,D,fall,lrg,28,Inf
531,D,fall,lrg,3,4
532,D,fall,lrg,21,28
533,D,fall,lrg,28,Inf
534,D,fall,lrg,28,Inf
535,D,fall,lrg,28,Inf
536,D,fall,lrg,28,Inf
537,D,fall,lrg,10,14
538,D,fall,lrg,28,Inf
539,D,fall,lrg,7,10
540,D,fall,lrg,0,1
541,RP,spring,bat,1,2
542,RP,spring,bat,1,2
543,RP,spring,bat,1,2
544,RP,spring,bat,0,1
545,RP,spring,bat,2,3
546,RP,spring,bat,0,1
547,RP,spring,bat,0,1
548,RP,spring,bat,0,1
549,RP,spring,bat,0,1
550,RP,spring,bat,0,1
551,RP,spring,bat,0,1
552,RP,spring,bat,3,4
553,RP,spring,bat,1,2
554,RP,spring,bat,0,1
555,RP,spring,bat,0,1
556,RP,spring,bat,1,2
557,RP,spring,bat,1,2
558,RP,spring,bat,0,1
559,RP,spring,bat,1,2
560,RP,spring,bat,0,1
561,RP,summer,bat,0,1
562,RP,summer,bat,2,3
563,RP,summer,bat,0,1
564,RP,summer,bat,7,10
565,RP,summer,bat,1,2
566,RP,summer,bat,1,2
567,RP,summer,bat,2,3
568,RP,summer,bat,0,1
569,RP,summer,bat,4,7
570,RP,summer,bat,0,1
571,RP,summer,bat,2,3
572,RP,summer,bat,0,1
573,RP,summer,bat,0,1
574,RP,summer,bat,10,14
575,RP,summer,bat,2,3
576,RP,summer,bat,3,4
577,RP,summer,bat,7,10
578,RP,summer,bat,1,2
579,RP,summer,bat,1,2
580,RP,summer,bat,1,2
581,RP,fall,bat,0,1
582,RP,fall,bat,0,1
583,RP,fall,bat,0,1
584,RP,fall,bat,0,1
585,RP,fall,bat,3,4
586,RP,fall,bat,1,2
587,RP,fall,bat,4,7
588,RP,fall,bat,0,1
589,RP,fall,bat,0,1
590,RP,fall,bat,0,1
591,RP,fall,bat,2,3
592,RP,fall,bat,1,2
593,RP,fall,bat,7,10
594,RP,fall,bat,1,2
595,RP,fall,bat,0,1
596,RP,fall,bat,10,14
597,RP,fall,bat,2,3
598,RP,fall,bat,0,1
599,RP,fall,bat,1,2
600,RP,fall,bat,0,1
601,M,spring,bat,10,14
602,M,spring,bat,7,10
603,M,spring,bat,1,2
604,M,spring,bat,1,2
605,M,spring,bat,0,1
606,M,spring,bat,3,4
607,M,spring,bat,0,1
608,M,spring,bat,1,2
609,M,spring,bat,3,4
610,M,spring,bat,2,3
611,M,spring,bat,1,2
612,M,spring,bat,21,28
613,M,spring,bat,4,7
614,M,spring,bat,14,21
615,M,spring,bat,0,1
616,M,spring,bat,10,14
617,M,spring,bat,7,10
618,M,spring,bat,3,4
619,M,spring,bat,4,7
620,M,spring,bat,21,28
621,M,summer,bat,2,3
622,M,summer,bat,21,28
623,M,summer,bat,0,1
624,M,summer,bat,0,1
625,M,summer,bat,10,14
626,M,summer,bat,7,10
627,M,summer,bat,4,7
628,M,summer,bat,0,1
629,M,summer,bat,1,2
630,M,summer,bat,14,21
631,M,summer,bat,4,7
632,M,summer,bat,1,2
633,M,summer,bat,2,3
634,M,summer,bat,0,1
635,M,summer,bat,4,7
636,M,summer,bat,7,10
637,M,summer,bat,4,7
638,M,summer,bat,2,3
639,M,summer,bat,0,1
640,M,summer,bat,0,1
641,M,fall,bat,28,Inf
642,M,fall,bat,1,2
643,M,fall,bat,0,1
644,M,fall,bat,14,21
645,M,fall,bat,1,2
646,M,fall,bat,10,14
647,M,fall,bat,3,4
648,M,fall,bat,10,14
649,M,fall,bat,4,7
650,M,fall,bat,1,2
651,M,fall,bat,4,7
652,M,fall,bat,3,4
653,M,fall,bat,0,1
654,M,fall,bat,4,7
655,M,fall,bat,0,1
656,M,fall,bat,4,7
657,M,fall,bat,1,2
658,M,fall,bat,4,7
659,M,fall,bat,2,3
660,M,fall,bat,7,10
661,D,spring,bat,7,10
662,D,spring,bat,1,2
663,D,spring,bat,4,7
664,D,spring,bat,10,14
665,D,spring,bat,10,14
666,D,spring,bat,10,14
667,D,spring,bat,1,2
668,D,spring,bat,7,10
669,D,spring,bat,3,4
670,D,spring,bat,7,10
671,D,spring,bat,21,28
672,D,spring,bat,14,21
673,D,spring,bat,0,1
674,D,spring,bat,2,3
675,D,spring,bat,14,21
676,D,spring,bat,2,3
677,D,spring,bat,0,1
678,D,spring,bat,0,1
679,D,spring,bat,0,1
680,D,spring,bat,3,4
681,D,summer,bat,4,7
682,D,summer,bat,0,1
683,D,summer,bat,0,1
684,D,summer,bat,21,28
685,D,summer,bat,10,14
686,D,summer,bat,4,7
687,D,summer,bat,10,14
688,D,summer,bat,1,2
689,D,summer,bat,14,21
690,D,summer,bat,3,4
691,D,summer,bat,3,4
692,D,summer,bat,2,3
693,D,summer,bat,0,1
694,D,summer,bat,7,10
695,D,summer,bat,21,28
696,D,summer,bat,10,14
697,D,summer,bat,4,7
698,D,summer,bat,7,10
699,D,summer,bat,4,7
700,D,summer,bat,1,2
701,D,fall,bat,4,7
702,D,fall,bat,7,10
703,D,fall,bat,21,28
704,D,fall,bat,3,4
705,D,fall,bat,0,1
706,D,fall,bat,14,21
707,D,fall,bat,10,14
708,D,fall,bat,0,1
709,D,fall,bat,21,28
710,D,fall,bat,3,4
711,D,fall,bat,21,28
712,D,fall,bat,3,4
713,D,fall,bat,7,10
714,D,fall,bat,28,Inf
715,D,fall,bat,10,14
716,D,fall,bat,7,10
717,D,fall,bat,1,2
718,D,fall,bat,1,2
719,D,fall,bat,1,2
720,D,fall,bat,28,Inf
